condition,training_seed,case_id,terrain_kind,quality_failure_reasons,source_csv,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type
mixed_rl,1000,tracking_v2_holdout_14_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_14_bumps.csv,-0.09348904439186988,0.003016670900265338,0.05492422871798327,0.10842911196523909,0.7434121237558524,mixed
mixed_rl,1000,tracking_v2_holdout_15_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_15_bumps.csv,-0.10304936812455118,0.00010310927214274397,0.010154273590106974,0.10354845022023274,0.9903836444016944,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_16_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_16_ramp.csv,0.009847725838214009,0.00027324771195235667,0.01653020604688147,0.01924124258297744,0.2619423193483448,mixed
mixed_rl,1000,tracking_v2_holdout_17_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_17_ramp.csv,0.004148081594759736,0.00032463379054714663,0.018017596691766263,0.018488925643853165,0.05033513403667714,fluctuation_dominated
mixed_rl,1000,tracking_v2_holdout_18_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_18_ramp.csv,0.004384334064057619,0.00025025173136776426,0.015819346742762933,0.01641566680196148,0.07133295557710422,fluctuation_dominated
mixed_rl,1000,tracking_v2_holdout_19_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_19_ramp.csv,0.00625563293226658,0.0003405987968680717,0.018455318931627048,0.01948670675746238,0.10305418071546393,fluctuation_dominated
mixed_rl,1000,tracking_v2_holdout_20_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_20_ramp.csv,-0.030772292913661473,0.0001868293537334954,0.01366855346163212,0.03367140277591173,0.835213096914313,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_21_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_21_ramp.csv,-0.035223052104947146,0.00017935538500184916,0.01339236293571262,0.037683136607634865,0.873695061679289,bias_dominated_slow
mixed_rl,1000,tracking_v2_holdout_22_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_22_ramp.csv,-0.023734380672860947,0.0002511607574768316,0.015848052166649113,0.02853912373218748,0.6916311398619523,mixed
mixed_rl,1000,tracking_v2_holdout_23_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/mixed_rl_seed_1000/tracking_v2_holdout_23_ramp.csv,-0.03812485402546335,0.00025250549931178493,0.015890421621586538,0.041303873834964616,0.8519906095314846,bias_dominated_slow
